Date,In inches
"January 01, 2017",
"January 02, 2017",0.12
"January 03, 2017",0.2
"January 04, 2017",1.67
"January 05, 2017",1.75
"January 06, 2017",0.02
"January 07, 2017",0.3
"January 08, 2017",1.47
"January 09, 2017",
"January 10, 2017",
"January 11, 2017",
"January 12, 2017",
"January 13, 2017",
"January 14, 2017",
"January 15, 2017",
"January 16, 2017",
"January 17, 2017",
"January 18, 2017",
"January 19, 2017",0.81
"January 20, 2017",
"January 21, 2017",
"January 22, 2017",
"January 23, 2017",
"January 24, 2017",
"January 25, 2017",
"January 26, 2017",
"January 27, 2017",
"January 28, 2017",
"January 29, 2017",
"January 30, 2017",
"January 31, 2017",
"February 01, 2017",
"February 02, 2017",0.07
"February 03, 2017",0.3
"February 04, 2017",0.88
"February 05, 2017",
"February 06, 2017",0.52
"February 07, 2017",
"February 08, 2017",
"February 09, 2017",
"February 10, 2017",
"February 11, 2017",
"February 12, 2017",
"February 13, 2017",
"February 14, 2017",
"February 15, 2017",
"February 16, 2017",
"February 17, 2017",
"February 18, 2017",
"February 19, 2017",
"February 20, 2017",
"February 21, 2017",
"February 22, 2017",
"February 23, 2017",
"February 24, 2017",
"February 25, 2017",
"February 26, 2017",
"February 27, 2017",0.05
"February 28, 2017",
"March 01, 2017",
"March 02, 2017",
"March 03, 2017",
"March 04, 2017",
"March 05, 2017",0.05
"March 06, 2017",
"March 07, 2017",
"March 08, 2017",
"March 09, 2017",
"March 10, 2017",
"March 11, 2017",
"March 12, 2017",
"March 13, 2017",
"March 14, 2017",
"March 15, 2017",
"March 16, 2017",
"March 17, 2017",
"March 18, 2017",
"March 19, 2017",
"March 20, 2017",
"March 21, 2017",
"March 22, 2017",
"March 23, 2017",
"March 24, 2017",
"March 25, 2017",
"March 26, 2017",
"March 27, 2017",
"March 28, 2017",
"March 29, 2017",
"March 30, 2017",
"March 31, 2017",
"April 01, 2017",
"April 02, 2017",
"April 03, 2017",
"April 04, 2017",
"April 05, 2017",
"April 06, 2017",
"April 07, 2017",
"April 08, 2017",
"April 09, 2017",
"April 10, 2017",
"April 11, 2017",
"April 12, 2017",
"April 13, 2017",
"April 14, 2017",
"April 15, 2017",
"April 16, 2017",
"April 17, 2017",0.37
"April 18, 2017",0.57
"April 19, 2017",0.07
"April 20, 2017",0.56
"April 21, 2017",0.47
"April 22, 2017",
"April 23, 2017",
"April 24, 2017",
"April 25, 2017",
"April 26, 2017",
"April 27, 2017",
"April 28, 2017",
"April 29, 2017",
"April 30, 2017",
"May 01, 2017",
"May 02, 2017",
"May 03, 2017",
"May 04, 2017",
"May 05, 2017",
"May 06, 2017",
"May 07, 2017",
"May 08, 2017",
"May 09, 2017",
"May 10, 2017",
"May 11, 2017",
"May 12, 2017",
"May 13, 2017",
"May 14, 2017",
"May 15, 2017",
"May 16, 2017",
"May 17, 2017",
"May 18, 2017",
"May 19, 2017",
"May 20, 2017",
"May 21, 2017",
"May 22, 2017",
"May 23, 2017",
"May 24, 2017",
"May 25, 2017",
"May 26, 2017",
"May 27, 2017",
"May 28, 2017",
"May 29, 2017",
"May 30, 2017",
"May 31, 2017",
"June 01, 2017",
"June 02, 2017",
"June 03, 2017",
"June 04, 2017",
"June 05, 2017",
"June 06, 2017",
"June 07, 2017",
"June 08, 2017",
"June 09, 2017",
"June 10, 2017",
"June 11, 2017",
"June 12, 2017",
"June 13, 2017",
"June 14, 2017",
"June 15, 2017",
"June 16, 2017",
"June 17, 2017",
"June 18, 2017",
"June 19, 2017",
"June 20, 2017",
"June 21, 2017",
"June 22, 2017",
"June 23, 2017",
"June 24, 2017",
"June 25, 2017",
"June 26, 2017",
"June 27, 2017",
"June 28, 2017",
"June 29, 2017",
"June 30, 2017",
,